IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),GOES Flare Class,GOES Estimated Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,IP Radio Bursts
FLARE0000,,,GOES,2021-07-03 14:18:00,,2021-07-03 14:29:00,,2021-07-03 14:34:00,,2021-07-03 14:18:00,,2021-07-03 14:29:00,,2021-07-03 14:34:00,,2021-07-03 14:09:40,,2021-07-03 14:20:40,,2021-07-03 14:25:40,,X1.5,,81.0,24.0,,,1.0,,12838.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20210703.png
FLARE0001,CME0001,,STIX,,2021-07-15 21:05:04,,2021-07-15 21:21:28,,2021-07-15 22:33:52,,2021-07-15 21:06:15,,2021-07-15 21:22:39,,2021-07-15 22:35:03,,2021-07-15 20:57:55,,2021-07-15 21:14:19,,2021-07-15 22:26:43,,M5,,,-164.838514130689,-17.9118431969218,,0.856633226799757,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20210715.png
FLARE0002,CME0006,,GOES,2021-10-28 15:17:00,,2021-10-28 15:35:00,,2021-10-28 15:48:00,,2021-10-28 15:17:00,,2021-10-28 15:35:00,,2021-10-28 15:48:00,,2021-10-28 15:08:40,,2021-10-28 15:26:40,,2021-10-28 15:39:40,,X1.0,,5.0,-26.0,,,1.0,,12887.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20211028.png
FLARE0003,,,STIX,,2022-01-12 08:13:32,,2022-01-12 08:19:52,,2022-01-12 08:47:04,,2022-01-12 08:13:51,,2022-01-12 08:20:11,,2022-01-12 08:47:23,,2022-01-12 08:05:31,,2022-01-12 08:11:51,,2022-01-12 08:39:03,,M7,,,,,,0.961382749929112,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220112.png
FLARE0004,CME0017,,GOES,2022-01-20 05:41:00,,2022-01-20 06:01:00,,2022-01-20 06:12:00,,2022-01-20 05:41:00,,2022-01-20 06:01:00,,2022-01-20 06:12:00,,2022-01-20 05:32:40,,2022-01-20 05:52:40,,2022-01-20 06:03:40,,M5.5,,68.0,8.0,,,1.0,,12929.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220120.png
FLARE0005,,,STIX,,2022-01-20 05:46:35,,2022-01-20 05:58:55,,2022-01-20 07:03:27,,2022-01-20 05:47:13,,2022-01-20 05:59:33,,2022-01-20 07:04:05,,2022-01-20 05:38:53,,2022-01-20 05:51:13,,2022-01-20 06:55:45,,M6,,,,,,0.924401805846741,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220120.png
FLARE0006,,,STIX,,2022-01-25 10:23:56,,2022-01-25 10:27:16,,2022-01-25 11:06:24,,2022-01-25 10:24:48,,2022-01-25 10:28:08,,2022-01-25 11:07:16,,2022-01-25 10:16:28,,2022-01-25 10:19:48,,2022-01-25 10:58:56,,M7,,,-91.8855992331229,17.6692948769134,,0.894624099251458,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220125.png
FLARE0007,,,GOES/STIX,2022-03-30 17:21:00,2022-03-30 17:18:15,2022-03-30 17:37:00,2022-03-30 17:30:16,2022-03-30 17:46:00,2022-03-30 18:46:12,2022-03-30 17:21:00,2022-03-30 17:23:48,2022-03-30 17:37:00,2022-03-30 17:35:48,2022-03-30 17:46:00,2022-03-30 18:51:44,2022-03-30 17:12:40,2022-03-30 17:15:28,2022-03-30 17:28:40,2022-03-30 17:27:28,2022-03-30 17:37:40,2022-03-30 18:43:24,X1.3,M9,39.0,13.0,31.2056841673128,12.6968689963864,1.0,0.33539935455512,12975.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220330.png
FLARE0008,,,GOES/STIX,2022-03-31 18:17:00,2022-03-31 18:15:48,2022-03-31 18:35:00,2022-03-31 18:26:44,2022-03-31 18:45:00,2022-03-31 19:48:20,2022-03-31 18:17:00,2022-03-31 18:21:17,2022-03-31 18:35:00,2022-03-31 18:32:13,2022-03-31 18:45:00,2022-03-31 19:53:49,2022-03-31 18:08:40,2022-03-31 18:12:57,2022-03-31 18:26:40,2022-03-31 18:23:53,2022-03-31 18:36:40,2022-03-31 19:45:29,M9.6,M6,47.0,13.0,46.2227326367558,11.5510479578847,1.0,0.342106373612147,12975.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220331.png
FLARE0009,,,GOES,2022-04-17 03:17:00,,2022-04-17 03:34:00,,2022-04-17 03:51:00,,2022-04-17 03:17:00,,2022-04-17 03:34:00,,2022-04-17 03:51:00,,2022-04-17 03:08:40,,2022-04-17 03:25:40,,2022-04-17 03:42:40,,X1.1,,-88.0,12.0,,,1.0,,12994.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220417.png
FLARE0010,,,GOES/STIX,2022-04-17 22:28:00,2022-04-17 22:22:20,2022-04-17 22:34:00,2022-04-17 22:29:24,2022-04-17 22:40:00,2022-04-17 23:03:36,2022-04-17 22:28:00,2022-04-17 22:26:10,2022-04-17 22:34:00,2022-04-17 22:33:14,2022-04-17 22:40:00,2022-04-17 23:07:26,2022-04-17 22:19:40,2022-04-17 22:17:50,2022-04-17 22:25:40,2022-04-17 22:24:54,2022-04-17 22:31:40,2022-04-17 22:59:06,M4.4,M5,73.0,-31.0,63.2802093239397,-30.4736953991984,1.0,0.538728518353953,12992.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220417.png
FLARE0011,,,STIX,,2022-04-19 20:35:24,,2022-04-19 20:44:00,,2022-04-19 22:04:56,,2022-04-19 20:39:02,,2022-04-19 20:47:38,,2022-04-19 22:08:34,,2022-04-19 20:30:42,,2022-04-19 20:39:18,,2022-04-19 22:00:14,,M5,,,96.6106172269262,-28.9681866143611,,0.562674245783813,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220419.png
FLARE0012,,,GOES/STIX,2022-04-20 01:20:00,2022-04-20 01:19:36,2022-04-20 01:36:00,2022-04-20 01:31:24,2022-04-20 01:44:00,2022-04-20 01:52:24,2022-04-20 01:20:00,2022-04-20 01:23:13,2022-04-20 01:36:00,2022-04-20 01:35:01,2022-04-20 01:44:00,2022-04-20 01:56:01,2022-04-20 01:11:40,2022-04-20 01:14:53,2022-04-20 01:27:40,2022-04-20 01:26:41,2022-04-20 01:35:40,2022-04-20 01:47:41,M7.2,M5,86.0,-33.0,92.4361193307076,-33.8363368164224,1.0,0.565130522589012,12992.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png
FLARE0013,,,STIX,,2022-04-20 03:31:04,,2022-04-20 03:52:40,,2022-04-20 04:30:08,,2022-04-20 03:34:41,,2022-04-20 03:56:17,,2022-04-20 04:33:45,,2022-04-20 03:26:21,,2022-04-20 03:47:57,,2022-04-20 04:25:25,,X2,,,94.0850146935793,-33.7239306522169,,0.566336062616014,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png
FLARE0014,,,GOES,2022-04-20 03:41:00,,2022-04-20 03:57:00,,2022-04-20 04:04:00,,2022-04-20 03:41:00,,2022-04-20 03:57:00,,2022-04-20 04:04:00,,2022-04-20 03:32:40,,2022-04-20 03:48:40,,2022-04-20 03:55:40,,X2.2,,86.0,-34.0,,,1.0,,12992.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png
FLARE0015,,,GOES,2022-04-21 01:47:00,,2022-04-21 01:59:00,,2022-04-21 02:05:00,,2022-04-21 01:47:00,,2022-04-21 01:59:00,,2022-04-21 02:05:00,,2022-04-21 01:38:40,,2022-04-21 01:50:40,,2022-04-21 01:56:40,,M9.6,,-23.0,22.0,,,1.0,,12993.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220421.png
FLARE0016,,,STIX,,2022-04-30 09:51:31,,2022-04-30 09:54:19,,2022-04-30 10:00:51,,2022-04-30 09:54:09,,2022-04-30 09:56:57,,2022-04-30 10:03:29,,2022-04-30 09:45:49,,2022-04-30 09:48:37,,2022-04-30 09:55:09,,M6,,,90.3944461871459,16.6128929054322,,0.684246495583894,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png
